location,block,quantity
0,sea_lantern,2
1,iron_ore,42
2,hopper,50
3,clay,4
4,red_sandstone,9
5,coal_ore,25
6,detector_rail,18
7,dark_oak_fence_gate,42
8,birch_door,34
9,hopper,60
10,end_portal_frame,64
11,red_mushroom,50
12,glass,3
13,mycelium,46
14,diamond_block,29
15,stone_pressure_plate,51
16,emerald_ore,15
17,empty,20
18,jukebox,18
19,lapis_ore,46
20,glass,14
21,sand,7
22,empty,37
23,sponge,15
24,acacia_door,22
25,brown_mushroom_block,20
26,gold_ore,59
27,iron_trapdoor,1
28,jungle_fence,27
29,glass_pane,4
30,acacia_door,15
31,flower_pot,64
32,clay,57
33,emerald_block,19
34,sand,4
35,redstone_torch,52
