location,block,quantity
0,stone_stairs,63
1,flower_pot,3
2,glass_pane,24
3,pumpkin,9
4,acacia_door,8
5,lapis_ore,14
6,sea_lantern,39
7,barrier,12
8,acacia_fence_gate,53
9,end_portal_frame,53
10,spruce_stairs,32
11,heavy_weighted_pressure_plate,18
12,red_mushroom_block,57
13,nether_brick_fence,50
14,iron_ore,38
15,tnt,25
16,enchanting_table,32
17,spruce_fence,11
18,heavy_weighted_pressure_plate,2
19,sandstone_stairs,7
20,jungle_fence_gate,53
21,stone_stairs,49
22,nether_wart,40
23,nether_brick,11
24,gold_block,13
25,dispenser,14
26,birch_fence,29
27,iron_ore,64
28,acacia_fence,3
29,jukebox,49
30,end_portal_frame,49
31,ender_chest,57
32,gold_block,8
33,obsidian,28
34,diamond_ore,26
35,iron_trapdoor,13
